section,description,case_study
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"A patrolling squad in Bengaluru intercepted five individuals, including Rohan Das, on 30th December 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"On the night of 12th January 2025, the accused Rajesh Kumar engaged in a heated argument with the victim Mohan over a property boundary in Hyderabad. The accused subsequently went inside, fetched a revolver, and inflicted multiple blows on the victim's head, causing instant death."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The accused Deepak Gupta misrepresented himself as a registered financial broker and collected Rs. 5,000,000 from the victim Divya in Mumbai. He generated fake investment certificates and siphoned the entire capital."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.",The accused Anil Mehta fired two rounds from a iron rod at Komal in Kolkata due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","During a political rally in Obour on 23rd March 2024, Amit Singh tried to strangulate Divya with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"In Delhi, the police arrested Pankaj Tripathi for running an online job scam. The accused cheated over fifty youngsters of Rs. 250,000 each, promising them government jobs and issuing fake appointment letters on 18th May 2025."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"On the night of 29th September 2024, the accused Ramesh Sen engaged in a heated argument with the victim Sameer over a property boundary in Bhopal. The accused subsequently went inside, fetched a sickle, and inflicted multiple blows on the victim's head, causing instant death."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"During a political rally in Surat on 15th August 2024, Suresh Sharma tried to strangulate Meena with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",A case under Section 376 was registered against Harish Iyer in Delhi. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"On 5th November 2023, the complainant filed an FIR at the women's police station in Chandigarh against Rohan Das (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 300,000 demanded by the in-laws."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"On 30th December 2024, the police raided a hideout in Bengaluru and arrested four gang members, including Manish Paul. Stolen jewelry worth Rs. 250,000 was recovered. The gang had been habitually committing house thefts in the region."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The accused Pankaj Tripathi misrepresented himself as a registered financial broker and collected Rs. 5,000,000 from the victim Maya in Hyderabad. He generated fake investment certificates and siphoned the entire capital."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,The victim filed a First Information Report (FIR) in Nagpur stating that the accused Rahul Verma committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",The trial court convicted Sunil Dutt under Section 376 for the gang rape/rape of the survivor in Mumbai. The survivor testified that the accused abducted her on 30th December 2024 and committed the heinous offense in a moving vehicle.
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"The victim Abhishek of Ahmedabad committed suicide after continuous harassment by her husband Rahul Verma and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","The police busted an active criminal gang in Vadodara that specialized in highway thefts. The accused Sunil Dutt and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,State vs Harish Iyer: The accused was indicted under Section 302 for the murder of Alok in Amritsar. Eyewitness testimonies and the recovery of the sharp knife at the instance of the accused established guilt beyond reasonable doubt.
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"A land dispute between Vijay Yadav and Mohan in Hyderabad turned violent. Vijay Yadav loaded a sharp knife and shot Mohan from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"A patrolling squad in Kanpur intercepted five individuals, including Harish Iyer, on 15th August 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.",The accused Harish Iyer fired two rounds from a pistol at Raj in Indore due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The complainant alleged that the accused Deepak Gupta running a bogus real estate firm in Patna promised to deliver a 2BHK flat. The complainant paid Rs. 50,000 on 30th December 2024, after which the accused locked the office and fled."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Kolkata found the accused Suresh Sharma guilty of murder under Section 302. On 29th September 2024, the accused had murdered his neighbor Gopal with a revolver in broad daylight. The court sentenced the convict to life imprisonment."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"A land dispute between Aakash Roy and Raj in Bengaluru turned violent. Aakash Roy loaded a hammer and shot Raj from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,"A charge sheet was filed under Section 302 against Anil Mehta for the premeditated killing of Seema in Nagpur. The accused had used a iron rod to inflict ten deep wounds, ensuring the death of the victim."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",The victim filed a First Information Report (FIR) in Patna stating that the accused Rahul Verma committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"A charge sheet was filed under Section 302 against Karan Johar for the premeditated killing of Anita in Jaipur. The accused had used a wooden stick to inflict ten deep wounds, ensuring the death of the victim."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"On 23rd March 2024, the complainant filed an FIR at the women's police station in Surat against Harish Iyer (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 50,000 demanded by the in-laws."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,A case under Section 498A was registered against Umesh Chandra in Pune. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,"The Sessions Court of Lucknow found the accused Ramesh Sen guilty of murder under Section 302. On 30th December 2024, the accused had murdered his neighbor Sameer with a sickle in broad daylight. The court sentenced the convict to life imprisonment."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"The police busted an active criminal gang in Delhi that specialized in highway thefts. The accused Anil Mehta and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","On the night of 15th August 2024, the accused Amit Singh engaged in a heated argument with the victim Kiran over a property boundary in Vadodara. The accused subsequently went inside, fetched a sickle, and inflicted multiple blows on the victim's head, causing instant death."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"In the jurisdiction of Hyderabad, the prosecution proved that Suresh Sharma deliberately poisoned the meal of Meena with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 23rd March 2024 at the local hospital."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The complainant alleged that the accused Manoj Bajpayee running a bogus real estate firm in Chandigarh promised to deliver a 2BHK flat. The complainant paid Rs. 1,200,000 on 30th December 2024, after which the accused locked the office and fled."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.",The accused Sanjay Dutt fired two rounds from a pistol at Vijay in Indore due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,The victim filed a First Information Report (FIR) in Kolkata stating that the accused Rajesh Kumar committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The accused Arjun Kapoor forged ownership documents of a commercial land plot in Bhopal and sold it to Mohan for Rs. 75,000. The fraud was discovered when the victim applied for a building permit."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,The victim filed a First Information Report (FIR) in Bengaluru stating that the accused Harish Iyer committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"A land dispute between Vijay Yadav and Meena in Patna turned violent. Vijay Yadav loaded a revolver and shot Meena from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"In Jaipur, the police arrested Amit Singh for running an online job scam. The accused cheated over fifty youngsters of Rs. 50,000 each, promising them government jobs and issuing fake appointment letters on 12th January 2025."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"During a political rally in Nagpur on 12th January 2025, Vikram Rathore tried to strangulate Divya with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"In the jurisdiction of Chandigarh, the prosecution proved that Harish Iyer deliberately poisoned the meal of Gopal with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 15th August 2024 at the local hospital."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,The victim filed a First Information Report (FIR) in Bhopal stating that the accused Vijay Yadav committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,A gang of habitual car thieves was apprehended in Hyderabad. The accused Harish Iyer was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,"In Jaipur, the accused Sanjay Dutt entered the victim Anita's residence when she was alone on 23rd March 2024 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
